id,web_name,first_name,second_name,element_type,team,now_cost,form,total_points,minutes,goals_scored,assists,clean_sheets,saves,selected_by_percent,influence,creativity,threat,position,cost
168,Buonanotte,Facundo,Buonanotte,3,6,50,0.0,75,1508,5,2,2,0,0.3,415.8,415.8,318.0,MID,5.0
169,Gomez,Diego,Gómez Amarilla,3,6,50,0.0,30,507,1,1,0,0,0.1,124.2,143.2,69.0,MID,5.0
170,Milner,James,Milner,3,6,50,0.0,6,170,0,0,1,0,0.1,28.6,66.3,12.0,MID,5.0
171,Sarmiento,Jeremy,Sarmiento Morante,3,6,50,0.0,1,8,0,0,0,0,0.1,0.2,0.8,0.0,MID,5.0
172,Watson,Tom,Watson,3,6,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
173,Wieffer,Mats,Wieffer,3,6,50,0.0,52,1003,1,5,2,0,0.1,328.8,230.4,129.0,MID,5.0
174,Yalcouye,Malick,Yalcouyé,3,6,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
175,Knight,Joe,Knight,3,6,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
176,Mazilu,Adrian,Mazilu,3,6,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
177,Moran,Andrew,Moran,3,6,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
178,Welbeck,Danny,Welbeck,4,6,65,0.0,125,2109,10,5,7,0,7.8,550.2,331.3,676.0,FWD,6.5
179,Ferguson,Evan,Ferguson,4,6,55,0.0,28,385,1,0,1,0,0.1,80.0,68.5,104.0,FWD,5.5
180,Tzimas,Stefanos,Tzimas,4,6,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,FWD,5.5
181,Kostoulas,Charalampos,Kostoulas,4,6,50,0.0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,FWD,5.0
220,Sánchez,Robert,Lynch Sánchez,1,7,50,0.0,126,2880,0,0,10,95,15.4,755.6,20.0,0.0,GK,5.0
221,Jörgensen,Filip,Jörgensen,1,7,45,0.0,18,540,0,0,1,20,0.2,157.6,0.0,0.0,GK,4.5
222,Penders,Mike,Penders,1,7,40,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,GK,4.0
223,Slonina,Gabriel,Słonina,1,7,40,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,GK,4.0
224,Cucurella,Marc,Cucurella Saseta,2,7,60,0.0,133,2988,5,2,9,0,18.9,668.6,350.6,358.0,DEF,6.0
225,James,Reece,James,2,7,55,0.0,54,1057,1,2,3,0,4.5,207.6,202.1,56.0,DEF,5.5
226,Chalobah,Trevoh,Chalobah,2,7,50,0.0,93,1969,3,1,6,0,0.7,496.4,124.2,222.0,DEF,5.0
227,Colwill,Levi,Samuels Colwill,2,7,50,0.0,109,3150,2,1,10,0,5.3,692.0,214.3,185.0,DEF,5.0
228,Gusto,Malo,Gusto,2,7,50,0.0,60,1853,0,1,4,0,2.1,336.8,394.6,147.0,DEF,5.0
229,B.Badiashile,Benoît,Badiashile Mukinayi,2,7,45,0.0,7,332,0,0,0,0,0.1,66.0,12.6,0.0,DEF,4.5
230,Fofana,Wesley,Fofana,2,7,45,0.0,26,1172,0,0,2,0,0.3,200.2,85.0,33.0,DEF,4.5
231,M.Sarr,Mamadou,Sarr,2,7,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,4.5
232,Tosin,Tosin,Adarabioyo,2,7,45,0.0,71,1403,1,1,7,0,0.3,352.2,48.2,92.0,DEF,4.5
233,Acheampong,Josh,Acheampong,2,7,40,0.0,4,168,0,0,0,0,0.3,13.6,2.5,13.0,DEF,4.0
234,Anselmino,Aarón,Anselmino,2,7,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
235,Palmer,Cole,Palmer,3,7,105,0.0,214,3193,15,10,10,0,53.5,1068.2,1259.2,1052.0,MID,10.5
236,Neto,Pedro,Lomba Neto,3,7,70,0.0,104,2262,4,6,8,0,4.3,492.0,762.7,545.0,MID,7.0
237,Enzo,Enzo,Fernández,3,7,65,0.0,135,2943,6,8,10,0,4.1,761.6,1131.6,517.0,MID,6.5
238,Estêvão,Estêvão,Almeida de Oliveira Gonçalves,3,7,65,0.0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,MID,6.5
239,Gittens,Jamie,Bynoe-Gittens,3,7,65,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,MID,6.5
240,Nkunku,Christopher,Nkunku,3,7,60,0.0,60,904,3,2,2,0,0.2,230.2,204.9,339.0,MID,6.0
241,Caicedo,Moisés,Caicedo Corozo,3,7,55,0.0,98,3351,1,4,12,0,7.1,627.6,568.8,95.0,MID,5.5
243,George,Tyrique,George,3,7,50,0.0,17,177,1,1,1,0,0.1,67.4,72.7,32.0,MID,5.0
