id,fpl_Player,Position,Team,Price
375,Rasmus Hojlund,FW,MUN,6.9
376,Victor Lindelof,DEF,MUN,4.3
377,Harry Maguire,DEF,MUN,4.9
378,Kobbie Mainoo,MID,MUN,5.2
379,Tyrell Malacia,DEF,MUN,4.4
380,Lisandro Martinez,DEF,MUN,4.3
381,Scott McTominay,MID,MUN,4.9
382,Mason Mount,MID,MUN,6.3
383,Andre Onana,GK,MUN,4.9
384,Facundo Pellistri,MID,MUN,5.0
387,Luke Shaw,DEF,MUN,4.9
389,Joshua Zirkzee,FW,MUN,6.5
572,Leny Yoro,DEF,MUN,4.3
593,Matthijs De Ligt,DEF,MUN,4.8
594,Noussair Mazraoui,DEF,MUN,4.2
613,Toby Collyer,MID,MUN,4.5
648,Ethan Wheatley,FW,MUN,4.5
652,Manuel Ugarte,MID,MUN,4.9
658,Ayden Heaven,DEF,MUN,4.0
667,Jack Fletcher,MID,MUN,4.5
670,Harry Amass,DEF,MUN,4.0
673,Jayce Fitzgerald,MID,MUN,4.5
691,Godwill Kukonki,DEF,MUN,4.0
745,Ruben Filipe Amorim,ASS,MUN,0.8
761,Elyh Harrison,GK,MUN,4.0
766,Patrick Dorgu,DEF,MUN,4.5
776,Chido Obi,FW,MUN,4.5
777,Tyler Fredricson,DEF,MUN,4.0
778,Jack Moorhouse,MID,MUN,4.5
779,Sekou Kone,MID,MUN,4.5
783,Hubert Graczyk,GK,MUN,4.0
788,Dermot Mee,GK,MUN,4.0
390,Alex A.Murphy,DEF,NEW,4.0
391,Miguel Almiron,MID,NEW,5.4
392,Harvey Barnes,MID,NEW,5.9
393,Sven Botman,DEF,NEW,4.4
394,Bruno G.,MID,NEW,6.2
395,Dan Burn,DEF,NEW,4.6
396,Martin Dubravka,GK,NEW,4.0
398,Anthony Gordon,MID,NEW,7.4
399,Lewis Hall,DEF,NEW,4.7
400,Isaac Hayden,MID,NEW,4.4
401,Alexander Isak,FW,NEW,9.4
402,Jacob J.Murphy,MID,NEW,5.2
403,Joelinton Cassio,MID,NEW,6.0
404,Lloyd Kelly,DEF,NEW,4.2
405,Emil Krafth,DEF,NEW,4.3
406,Garang Kuol,MID,NEW,4.4
407,Jamaal Lascelles,DEF,NEW,4.5
408,Jamal Lewis,DEF,NEW,4.0
409,Tino Livramento,DEF,NEW,4.6
410,Sean Longstaff,MID,NEW,4.4
411,Lewis Miley,MID,NEW,5.0
412,Odysseas,GK,NEW,4.2
413,Nick Pope,GK,NEW,5.0
414,John Ruddy,GK,NEW,3.9
415,Fabian Schar,DEF,NEW,5.5
416,Matt Targett,DEF,NEW,3.9
417,Sandro Tonali,MID,NEW,5.5
418,Kieran Trippier,DEF,NEW,5.6
419,Joe White,MID,NEW,4.5
420,Joe Willock,MID,NEW,4.7
421,Callum Wilson,FW,NEW,6.9
574,Miodrag Pivas,DEF,NEW,4.0
590,William Osula,FW,NEW,4.9
746,Eddie Howe,ASS,NEW,1.5
789,Sean Neave,FW,NEW,4.5
26,Alex Alex Moreno,DEF,NFO,4.2
422,Ola Aina,DEF,NFO,5.3
423,Elliot Anderson,MID,NFO,5.0
424,Taiwo Awoniyi,FW,NFO,5.5
425,Willy Boly,DEF,NFO,4.2
426,Josh Bowler,MID,NFO,4.5
427,Carlos Miguel C.Miguel,GK,NFO,4.1
428,Eric Da Silva Moreira,MID,NFO,4.3
429,Danilo,MID,NFO,4.7
430,Emmanuel Dennis,FW,NFO,4.9
431,Nicolas Dominguez,MID,NFO,4.8
432,Anthony Elanga,MID,NFO,5.5
433,Morgan Gibbs-White,MID,NFO,6.5
434,Callum Hudson-Odoi,MID,NFO,5.1
435,Alex Mighten,MID,NFO,4.5
436,Murillo,DEF,NFO,4.7
437,Neco N.Williams,DEF,NFO,4.5
438,Omar O.Richards,DEF,NFO,4.5
439,Lewis O'Brien,MID,NFO,5.0
